index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
8198,2006-06-01,24.6146,113.3904,0,255,0
8221,2006-06-01,30.72244,-115.44375,0,255,0
8245,2006-06-01,36.21078,-118.01385,0,255,0
8266,2006-06-01,40.79362,-120.68517,0,255,0
8305,2006-06-01,62.19888,-152.1759,23,255,3
8358,2006-06-01,64.99977,168.99646,0,255,0
8359,2006-06-01,64.95468,168.48618,0,255,0
8405,2006-06-01,60.9185,147.80426,0,255,0
8406,2006-06-01,60.79374,147.42595,0,255,0
8430,2006-06-01,56.01577,136.63658,0,255,0
8507,2006-06-01,41.43109,121.10477,0,255,0
8528,2006-06-01,34.41079,117.10556,0,255,0
8537,2006-06-01,32.35059,116.14684,7,255,1
8552,2006-06-01,28.83391,114.6823,0,255,0
8573,2006-06-01,23.73231,112.87366,0,255,0
8580,2006-06-01,21.98379,112.32533,4,255,1
8603,2006-06-01,32.23203,-115.83454,0,255,0
8627,2006-06-01,37.66169,-118.50848,0,255,0
8692,2006-06-01,63.12987,-154.9538,7,255,1
8747,2006-06-01,65.22633,168.89616,0,255,0
8754,2006-06-01,64.86578,165.33554,0,255,0
8804,2006-06-01,59.80205,143.909,0,255,0
8817,2006-06-01,57.91789,139.61992,2,255,0
8818,2006-06-01,57.76541,139.31062,4,255,1
8840,2006-06-01,54.1735,133.18581,0,255,0
8844,2006-06-01,53.47627,132.2011,0,255,0
8861,2006-06-01,50.38265,128.40009,0,255,0
8897,2006-06-01,43.23995,122.03549,0,255,0
8908,2006-06-01,40.91968,120.45178,7,255,1
8921,2006-06-01,36.32905,117.79343,0,255,0
8936,2006-06-01,32.92515,116.14299,0,255,0
8948,2006-06-01,30.12791,114.94867,21,255,3
8955,2006-06-01,28.46552,114.29807,1,255,0
8956,2006-06-01,28.22617,114.20773,7,255,1
8960,2006-06-01,27.26407,113.85256,29,255,4
8970,2006-06-01,24.8255,113.00623,0,255,0
8972,2006-06-01,24.33199,112.84373,0,255,0
8981,2006-06-01,22.08665,112.13866,4,255,1
8989,2006-06-01,28.33343,-114.00715,31,255,5
9045,2006-06-01,41.04481,-120.21728,0,255,0
9053,2006-06-01,42.74158,-121.34958,0,255,0
9096,2006-06-01,62.82533,-152.57664,0,255,0
9110,2006-06-01,64.16084,-158.85391,0,255,0
9124,2006-06-01,65.61549,-170.88864,3,255,0
9128,2006-06-01,65.74471,-173.00808,0,255,0
9129,2006-06-01,65.77171,-173.54118,0,255,0
9136,2006-06-01,65.90063,-177.29938,36,255,5
9143,2006-06-01,65.91041,177.83892,0,255,0
9162,2006-06-01,65.35896,167.75768,0,255,0
9186,2006-06-01,63.62869,156.08768,0,255,0
9194,2006-06-01,62.82533,152.57664,0,255,0
9208,2006-06-01,61.18512,146.93816,0,255,0
9217,2006-06-01,59.99038,143.65254,0,255,0
9269,2006-06-01,51.4647,129.19327,0,255,0
9284,2006-06-01,48.61607,126.16809,0,255,0
9293,2006-06-01,46.84181,124.54009,3,255,0
9320,2006-06-01,41.2586,120.35475,0,255,0
9379,2006-06-01,25.91167,113.1428,2,255,0
9402,2006-06-01,27.95873,-113.62938,0,255,0
9430,2006-06-01,36.11356,-117.1213,0,255,0
9435,2006-06-01,37.23325,-117.69947,0,255,0
9453,2006-06-01,41.16899,-119.98164,0,255,0
9485,2006-06-01,50.67846,-127.87498,7,255,1
9486,2006-06-01,50.8671,-128.08162,15,255,2
9504,2006-06-01,62.58838,-150.66817,8,255,1
9518,2006-06-01,64.02584,-156.80141,0,255,0
9520,2006-06-01,64.20463,-157.72974,0,255,0
9531,2006-06-01,65.12493,-163.55139,0,255,0
9556,2006-06-01,66.15825,180.0,10,255,2
9557,2006-06-01,66.15716,179.45434,17,255,3
9563,2006-06-01,66.10454,176.18592,0,255,0
9587,2006-06-01,65.12493,163.55139,0,255,0
9634,2006-06-01,60.178,143.39293,0,255,0
9647,2006-06-01,58.27368,139.08562,0,255,0
9648,2006-06-01,58.11968,138.77547,0,255,0
9679,2006-06-01,52.89824,130.48601,0,255,0
9687,2006-06-01,51.42912,128.7131,0,255,0
9722,2006-06-01,44.53776,122.31458,4,255,1
9746,2006-06-01,39.43835,118.92642,0,255,0
9756,2006-06-01,36.11356,117.1213,0,255,0
9782,2006-06-01,30.10894,114.44395,26,255,4
9787,2006-06-01,28.919,113.98501,0,255,0
9869,2006-06-01,39.33966,-118.56841,0,255,0
9903,2006-06-01,46.51023,-123.5213,4,255,1
9905,2006-06-01,46.91382,-123.86034,20,255,3
9933,2006-06-01,62.07742,-147.99461,8,255,1
9934,2006-06-01,62.19983,-148.3925,28,255,4
9951,2006-06-01,64.05117,-155.68069,0,255,0
9955,2006-06-01,64.41845,-157.53679,0,255,0
9966,2006-06-01,65.2793,-162.89728,0,255,0
9973,2006-06-01,65.70588,-166.48343,29,255,4
10003,2006-06-01,66.29908,175.05404,0,255,0
10039,2006-06-01,64.23828,156.60223,0,255,0
10049,2006-06-01,63.23604,152.12805,0,255,0
10094,2006-06-01,57.02225,136.12331,0,255,0
10135,2006-06-01,49.67642,126.41206,0,255,0
10169,2006-06-01,42.78447,120.72241,0,255,0
10175,2006-06-01,41.50685,119.88106,0,255,0
10178,2006-06-01,40.8616,119.47589,0,255,0
10180,2006-06-01,40.42909,119.21129,0,255,0
10192,2006-06-01,36.67828,117.12675,0,255,0
10225,2006-06-01,29.02494,113.78203,0,255,0
10226,2006-06-01,28.78533,113.69276,7,255,1
10286,2006-06-01,33.60138,-115.39156,0,255,0
10292,2006-06-01,34.97984,-116.01939,0,255,0
10295,2006-06-01,35.66306,-116.34426,0,255,0
10309,2006-06-01,38.79816,-117.96508,0,255,0
10318,2006-06-01,40.76668,-119.10717,0,255,0
10320,2006-06-01,41.19905,-119.37262,0,255,0
10352,2006-06-01,47.85108,-124.29865,12,255,2
10376,2006-06-01,56.52934,-134.72321,4,255,1
10380,2006-06-01,59.83292,-141.13725,22,255,3
10395,2006-06-01,62.51911,-148.54794,0,255,0
10404,2006-06-01,63.54893,-152.33324,3,255,0
10418,2006-06-01,64.89086,-158.77634,0,255,0
10420,2006-06-01,65.05439,-159.74936,0,255,0
10430,2006-06-01,65.75767,-164.79196,0,255,0
10449,2006-06-01,66.61439,-178.8876,18,255,3
10450,2006-06-01,66.61773,-179.44374,5,255,1
10487,2006-06-01,65.21046,160.73474,0,255,0
10513,2006-06-01,62.63948,148.95451,0,255,0
10527,2006-06-01,60.83012,143.57771,0,255,0
10529,2006-06-01,60.55109,142.86403,0,255,0
10530,2006-06-01,60.40978,142.51215,0,255,0
10546,2006-06-01,57.99813,137.31372,0,255,0
