index,start_date,lat,lon,P0.1_N1_ALL_C4
95957,1993-03-01,58.87931,39.64417,1
95974,1993-03-01,56.19629,44.72586,1
95985,1993-03-01,54.32151,47.60256,1
95989,1993-03-01,53.61583,48.57633,1
96000,1993-03-01,51.61515,51.07245,1
96005,1993-03-01,50.67846,52.12501,1
96008,1993-03-01,50.10873,52.73359,1
96019,1993-03-01,47.97282,54.82772,1
96023,1993-03-01,47.17871,55.53918,1
96033,1993-03-01,45.15512,57.21151,0
96037,1993-03-01,44.33094,57.84068,0
96038,1993-03-01,44.12362,57.99461,0
96051,1993-03-01,41.3832,59.88153,1
96071,1993-03-01,37.01022,62.41797,1
96074,1993-03-01,36.33841,62.76485,3
96076,1993-03-01,35.88826,62.99166,3
96078,1993-03-01,35.43631,63.215,0
96083,1993-03-01,34.29852,63.75865,3
96105,1993-03-01,29.15791,65.9245,0
96113,1993-03-01,27.23364,66.63089,0
96118,1993-03-01,26.01575,67.05282,0
96121,1993-03-01,25.2793,67.29914,0
96127,1993-03-01,0.13848,-72.82686,0
96132,1993-03-01,1.64874,-72.58808,0
96163,1993-03-01,11.12845,-70.83556,0
96165,1993-03-01,18.87001,-68.99032,0
96185,1993-03-01,64.70028,-17.78388,0
96207,1993-03-01,64.40304,19.72227,1
96217,1993-03-01,63.13871,26.131,1
96227,1993-03-01,61.9225,30.72469,1
96233,1993-03-01,61.18512,33.06184,1
96239,1993-03-01,60.39991,35.2812,1
96240,1993-03-01,60.26462,35.6398,1
96263,1993-03-01,56.84263,43.04432,1
96273,1993-03-01,55.19225,45.79942,1
96288,1993-03-01,52.56283,49.47489,1
96299,1993-03-01,50.53102,51.86152,1
96306,1993-03-01,49.197,53.25944,1
96320,1993-03-01,46.44133,55.80439,1
96330,1993-03-01,44.40663,57.43956,0
96332,1993-03-01,43.99341,57.75002,0
96344,1993-03-01,41.47192,59.50664,1
96348,1993-03-01,40.61578,60.05431,1
96357,1993-03-01,38.66172,61.22341,0
96370,1993-03-01,35.77285,62.77132,3
96384,1993-03-01,32.57555,64.27438,3
96385,1993-03-01,32.34377,64.37585,0
96398,1993-03-01,29.28901,65.62988,0
96436,1993-03-01,4.8037,-71.88102,0
96443,1993-03-01,6.82269,-71.51135,0
96448,1993-03-01,8.24301,-71.23827,0
96471,1993-03-01,64.26175,-19.07509,0
96474,1993-03-01,64.74494,-15.6621,0
96486,1993-03-01,64.68161,16.15733,1
96491,1993-03-01,64.33641,18.59544,1
96492,1993-03-01,64.26175,19.07509,1
96494,1993-03-01,64.10696,20.02608,1
96500,1993-03-01,63.22718,24.60512,1
96513,1993-03-01,61.83969,30.08968,1
96521,1993-03-01,60.20923,35.02794,1
96522,1993-03-01,60.07472,35.38543,1
96527,1993-03-01,59.3841,37.12606,1
96533,1993-03-01,58.51739,39.11401,1
96538,1993-03-01,57.76541,40.68937,0
96540,1993-03-01,57.45743,41.29945,1
96546,1993-03-01,56.51004,43.0632,1
96569,1993-03-01,52.58764,48.97938,1
96570,1993-03-01,52.40771,49.20898,1
96595,1993-03-01,47.69272,54.31708,1
96596,1993-03-01,47.49609,54.49847,1
96599,1993-03-01,46.90279,55.03312,1
96606,1993-03-01,45.4989,56.22737,0
96647,1993-03-01,36.77511,61.97191,1
96648,1993-03-01,36.55231,62.0897,1
96651,1993-03-01,35.88115,62.43763,3
96654,1993-03-01,35.20585,62.77766,3
96672,1993-03-01,31.06767,64.66472,0
96675,1993-03-01,30.36354,64.95572,0
96682,1993-03-01,28.7044,65.61094,0
96696,1993-03-01,25.31707,66.82908,0
96715,1993-03-01,4.99865,-71.67057,0
96742,1993-03-01,63.80998,-20.32313,1
96743,1993-03-01,63.88947,-19.85521,1
96745,1993-03-01,64.04306,-18.91108,0
96754,1993-03-01,64.75429,13.53585,0
96771,1993-03-01,63.20454,23.51796,1
96779,1993-03-01,62.41262,26.98789,1
96780,1993-03-01,62.30652,27.40757,1
96783,1993-03-01,61.97908,28.64761,1
96786,1993-03-01,61.63832,29.85901,1
96790,1993-03-01,60.41158,33.69006,1
96809,1993-03-01,57.28061,41.03534,1
96815,1993-03-01,56.33764,42.7974,1
96839,1993-03-01,52.25169,48.94518,1
96851,1993-03-01,50.04584,51.54629,1
96867,1993-03-01,46.96124,54.6052,1
96889,1993-03-01,42.48367,58.17255,0
96895,1993-03-01,41.21909,59.03624,1
96903,1993-03-01,39.50557,60.12401,1
96910,1993-03-01,37.98114,61.02029,0
96915,1993-03-01,36.87816,61.63095,1
96920,1993-03-01,35.76355,62.21842,3
96931,1993-03-01,33.27083,63.43495,3
96948,1993-03-01,29.30884,65.13136,0
96953,1993-03-01,28.11801,65.59233,0
96960,1993-03-01,26.431,66.21133,0
96970,1993-03-01,1.3626,-72.12626,0
96986,1993-03-01,6.05684,-71.29856,0
96993,1993-03-01,8.04948,-70.91276,0
97005,1993-03-01,11.66046,-70.15411,0
97032,1993-03-01,64.23726,15.87594,1
97040,1993-03-01,63.67166,19.68711,1
97059,1993-03-01,61.32067,30.02712,1
97076,1993-03-01,57.70892,39.54608,1
97083,1993-03-01,56.63805,41.66615,1
97087,1993-03-01,56.00466,42.81836,1
97091,1993-03-01,55.35652,43.92917,1
97096,1993-03-01,54.52656,45.26162,1
97098,1993-03-01,54.18866,45.77772,1
97102,1993-03-01,53.5031,46.78196,1
97103,1993-03-01,53.32972,47.02732,1
