index,start_date,lat,lon,P0.1_N1_[ALL]_C5
45707,2006-12-01,63.88545,106.69924,1
45727,2006-12-01,59.40239,104.24346,1
45738,2006-12-01,56.89699,103.17255,1
45762,2006-12-01,51.33817,101.30993,1
45764,2006-12-01,50.8692,101.17792,1
45766,2006-12-01,50.39935,101.0489,1
45783,2006-12-01,46.36865,100.06069,1
45785,2006-12-01,45.89,99.95581,4
45786,2006-12-01,45.65032,99.90418,4
45795,2006-12-01,43.48211,99.46232,4
45810,2006-12-01,39.82242,98.80679,4
45812,2006-12-01,39.32991,98.72614,0
45823,2006-12-01,36.60091,98.30749,4
45834,2006-12-01,33.83597,97.92693,1
45836,2006-12-01,33.3292,97.86143,1
45854,2006-12-01,28.70794,97.31701,2
45861,2006-12-01,26.87958,97.12502,2
45865,2006-12-01,25.8264,97.01974,3
45876,2006-12-01,22.89688,96.74558,0
45886,2006-12-01,20.18851,96.51421,0
45890,2006-12-01,19.09231,96.42603,0
45914,2006-12-01,19.12281,-96.23286,0
45921,2006-12-01,29.77781,-97.20862,3
45926,2006-12-01,31.06612,-97.35238,3
45929,2006-12-01,31.83497,-97.44141,3
45939,2006-12-01,34.37639,-97.75429,2
45949,2006-12-01,36.88647,-98.09445,4
45954,2006-12-01,38.13039,-98.27589,2
45959,2006-12-01,39.36719,-98.4656,2
45990,2006-12-01,46.88851,-99.86581,1
45992,2006-12-01,47.36564,-99.97206,1
45999,2006-12-01,49.0283,-100.36246,1
46000,2006-12-01,49.26491,-100.42072,1
46003,2006-12-01,49.97339,-100.59943,1
46007,2006-12-01,50.9149,-100.84734,1
46018,2006-12-01,53.48595,-101.59218,1
46027,2006-12-01,55.57007,-102.28095,1
46050,2006-12-01,61.4921,-104.81346,4
46055,2006-12-01,62.61344,-105.42216,1
46059,2006-12-01,63.50615,-105.9454,1
46071,2006-12-01,66.15935,-107.74467,4
46087,2006-12-01,70.69431,-112.05106,4
46091,2006-12-01,71.53839,-113.10632,1
46102,2006-12-01,73.81582,-116.56505,4
46111,2006-12-01,72.58225,114.56717,1
46113,2006-12-01,72.1663,113.96249,1
46124,2006-12-01,69.84311,111.08376,1
46137,2006-12-01,67.0347,108.43495,1
46148,2006-12-01,64.61635,106.65011,1
46150,2006-12-01,64.17306,106.36108,1
46202,2006-12-01,52.32056,101.24148,1
46204,2006-12-01,51.85288,101.10699,1
46213,2006-12-01,49.73745,100.53918,1
46236,2006-12-01,44.2473,99.31932,4
46252,2006-12-01,40.35165,98.6237,4
46253,2006-12-01,40.10594,98.58362,4
46261,2006-12-01,38.13039,98.27589,1
46263,2006-12-01,37.63369,98.20235,1
46290,2006-12-01,30.80915,97.32317,1
46318,2006-12-01,23.46469,96.5898,3
46340,2006-12-01,17.46369,96.10873,0
46344,2006-12-01,16.34755,96.02869,0
46356,2006-12-01,18.60121,-95.99889,0
46360,2006-12-01,28.77268,-96.87794,0
46374,2006-12-01,32.37894,-97.27007,3
46421,2006-12-01,44.04459,-98.98764,1
46432,2006-12-01,46.69031,-99.51254,1
46433,2006-12-01,46.92941,-99.56329,1
46443,2006-12-01,49.30774,-100.10188,1
46449,2006-12-01,50.72397,-100.45483,1
46450,2006-12-01,50.95924,-100.51604,1
46466,2006-12-01,54.69426,-101.60151,1
46499,2006-12-01,63.34556,-105.34089,1
46509,2006-12-01,65.5672,-106.75027,1
46521,2006-12-01,69.27925,-109.82246,4
46533,2006-12-01,71.83763,-112.72973,4
46535,2006-12-01,72.25776,-113.29456,1
46588,2006-12-01,64.01471,105.7388,1
46590,2006-12-01,63.56885,105.47133,1
46591,2006-12-01,63.34556,105.34089,1
46595,2006-12-01,62.44999,104.83994,1
46601,2006-12-01,61.09967,104.1458,1
46602,2006-12-01,60.87382,104.03625,1
46606,2006-12-01,59.96822,103.61418,1
46610,2006-12-01,59.05911,103.21632,1
46615,2006-12-01,57.91789,102.75002,1
46652,2006-12-01,47.88347,99.77174,1
46653,2006-12-01,47.6453,99.7188,1
46662,2006-12-01,45.4913,99.26661,0
46682,2006-12-01,40.63389,98.3973,0
46698,2006-12-01,36.67165,97.81042,4
46703,2006-12-01,35.41835,97.64338,1
46708,2006-12-01,34.15745,97.4833,1
46716,2006-12-01,32.12357,97.24059,1
46721,2006-12-01,30.84169,97.09669,1
46726,2006-12-01,29.55121,96.95838,2
46740,2006-12-01,25.88948,96.59818,3
46761,2006-12-01,20.249,96.12251,0
46765,2006-12-01,19.15239,96.03954,0
46801,2006-12-01,32.41098,-97.03794,3
46812,2006-12-01,35.19988,-97.36805,3
46825,2006-12-01,38.44849,-97.80019,2
46830,2006-12-01,39.68513,-97.98011,2
46834,2006-12-01,40.66955,-98.1301,2
46835,2006-12-01,40.91499,-98.16848,4
46850,2006-12-01,44.56576,-98.79054,1
46853,2006-12-01,45.28923,-98.92641,1
46861,2006-12-01,47.20807,-99.30994,1
46927,2006-12-01,63.85322,-105.12401,1
46932,2006-12-01,64.96725,-105.80251,1
46937,2006-12-01,66.075,-106.54298,1
46960,2006-12-01,71.50062,-111.54098,4
46961,2006-12-01,71.71284,-111.80141,4
46963,2006-12-01,72.13592,-112.34064,4
46986,2006-12-01,70.64742,110.55605,1
46998,2006-12-01,68.05172,108.06047,1
47014,2006-12-01,64.52237,105.52411,1
47018,2006-12-01,63.62969,104.99508,1
47031,2006-12-01,60.70299,103.49574,1
47033,2006-12-01,60.24942,103.2908,1
47038,2006-12-01,59.11177,102.80427,1
47041,2006-12-01,58.42665,102.52881,1
47042,2006-12-01,58.19785,102.43956,1
47051,2006-12-01,56.12939,101.68937,4
47055,2006-12-01,55.20469,101.38387,1
47057,2006-12-01,54.74109,101.23695,1
47065,2006-12-01,52.87839,100.68491,1
47079,2006-12-01,49.58604,99.83785,1
47089,2006-12-01,47.20807,99.30994,1
47095,2006-12-01,45.77035,99.01933,0
47102,2006-12-01,44.08224,98.70222,4
47109,2006-12-01,42.38213,98.40651,4
47115,2006-12-01,40.91499,98.16848,4
47124,2006-12-01,38.69637,97.83553,1
47127,2006-12-01,37.95189,97.73045,4
47159,2006-12-01,29.58232,96.73601,2
47160,2006-12-01,29.32308,96.70984,2
47162,2006-12-01,28.80355,96.65809,2
47173,2006-12-01,25.91956,96.38712,0
47174,2006-12-01,25.65507,96.36357,0
47181,2006-12-01,23.7924,96.20345,3
47189,2006-12-01,21.63844,96.03001,3
47191,2006-12-01,21.09556,95.98815,3
47194,2006-12-01,20.27784,95.92643,0
47199,2006-12-01,18.90563,95.82634,0
47209,2006-12-01,16.12445,95.63594,0
47213,2006-12-01,16.99149,-95.5032,0
47221,2006-12-01,29.09343,-96.46298,3
47225,2006-12-01,30.12996,-96.56468,3
47240,2006-12-01,33.96848,-96.9762,3
47249,2006-12-01,36.23717,-97.2487,2
47250,2006-12-01,36.48774,-97.28029,2
47254,2006-12-01,37.48712,-97.40944,2
47256,2006-12-01,37.98508,-97.47574,2
47257,2006-12-01,38.23364,-97.50933,2
47258,2006-12-01,38.48191,-97.54323,2
47292,2006-12-01,46.76795,-98.909,1
47311,2006-12-01,51.27929,-99.9095,1
47312,2006-12-01,51.51456,-99.96835,4
47314,2006-12-01,52.45353,-100.21087,4
47325,2006-12-01,55.71387,-101.15994,4
47343,2006-12-01,60.30219,-102.86275,1
47344,2006-12-01,60.52945,-102.9614,4
47346,2006-12-01,60.98335,-103.16323,1
47358,2006-12-01,63.68866,-104.5167,1
47363,2006-12-01,64.80633,-105.16446,1
47371,2006-12-01,66.582,-106.32685,1
47389,2006-12-01,70.94131,-110.15761,4
47393,2006-12-01,71.79641,-111.13982,4
47414,2006-12-01,71.79641,111.13982,1
47424,2006-12-01,69.64712,108.83843,1
47428,2006-12-01,68.77742,108.04782,1
47431,2006-12-01,68.12184,107.49576,1
47439,2006-12-01,66.36094,106.17216,1
47453,2006-12-01,63.23998,104.27251,1
47461,2006-12-01,61.4364,103.37133,1
47464,2006-12-01,60.75651,103.06155,1
47478,2006-12-01,57.55898,101.78475,1
47485,2006-12-01,55.94522,101.23444,1
47492,2006-12-01,54.32151,100.73267,1
47499,2006-12-01,52.68775,100.27333,1
47517,2006-12-01,48.43929,99.2534,1
47521,2006-12-01,47.48559,99.05344,1
47525,2006-12-01,46.52828,98.86186,1
47535,2006-12-01,44.11867,98.41637,4
47536,2006-12-01,43.8764,98.37426,4
47552,2006-12-01,39.96577,97.75316,4
47577,2006-12-01,33.46093,96.91839,1
47581,2006-12-01,32.44198,96.80558,1
47587,2006-12-01,30.90369,96.64307,1
47593,2006-12-01,29.3531,96.48811,2
47599,2006-12-01,27.78967,96.34019,2
47603,2006-12-01,26.73996,96.24525,3
47643,2006-12-01,15.87071,95.43147,0
47647,2006-12-01,17.01792,-95.31454,0
47651,2006-12-01,18.13066,-95.3857,0
47683,2006-12-01,36.26852,-97.00127,2
47687,2006-12-01,37.26947,-97.12502,2
47688,2006-12-01,37.51898,-97.15664,2
47701,2006-12-01,40.73741,-97.59464,2
47712,2006-12-01,43.42591,-98.00914,1
47725,2006-12-01,46.56503,-98.56089,1
47740,2006-12-01,50.13917,-99.29924,1
47753,2006-12-01,55.06272,-100.57352,1
47761,2006-12-01,56.91486,-101.15466,1
47767,2006-12-01,58.29561,-101.63364,1
47770,2006-12-01,58.98329,-101.88866,4
47773,2006-12-01,59.66918,-102.15495,1
47780,2006-12-01,61.48931,-102.926,1
47787,2006-12-01,63.07106,-103.68402,1
47815,2006-12-01,69.71992,-108.23249,4
47822,2006-12-01,71.23411,-109.74683,4
47833,2006-12-01,75.84994,-116.56505,4
47855,2006-12-01,70.15429,108.64179,1
47857,2006-12-01,69.71992,108.23249,1
47868,2006-12-01,67.30904,106.26021,1
47891,2006-12-01,62.16847,103.24052,1
47911,2006-12-01,57.60613,101.38918,1
47929,2006-12-01,53.43158,100.11204,1
47937,2006-12-01,51.55519,99.63117,1
47938,2006-12-01,51.31971,99.57423,1
47948,2006-12-01,48.95328,99.03948,1
47951,2006-12-01,48.23914,98.89043,1
47955,2006-12-01,47.28386,98.6991,1
47959,2006-12-01,46.32497,98.51579,1
47995,2006-12-01,37.51898,97.15664,0
48032,2006-12-01,28.0798,96.14663,2
48042,2006-12-01,25.44715,95.92062,0
48049,2006-12-01,23.58077,95.77203,3
48055,2006-12-01,21.96466,95.65045,0
48059,2006-12-01,20.87849,95.5722,0
48074,2006-12-01,16.73846,95.29705,0
48082,2006-12-01,17.60088,-95.15987,0
48095,2006-12-01,31.21897,-96.21338,3
48100,2006-12-01,32.50085,-96.34019,3
48116,2006-12-01,36.54955,-96.78305,4
48166,2006-12-01,48.75243,-98.67317,1
48167,2006-12-01,48.99043,-98.72169,1
48177,2006-12-01,51.35876,-99.2383,4
48182,2006-12-01,52.76977,-99.57842,4
48187,2006-12-01,54.40676,-100.00798,1
48188,2006-12-01,54.63981,-100.07248,4
48190,2006-12-01,55.10534,-100.20397,1
48192,2006-12-01,55.57007,-100.33891,1
48197,2006-12-01,56.72847,-100.69221,1
48204,2006-12-01,58.34205,-101.22889,4
48223,2006-12-01,62.89922,-103.10279,1
48248,2006-12-01,68.47564,-106.52579,4
48249,2006-12-01,68.69549,-106.69924,1
48271,2006-12-01,76.15429,-116.14684,4
48294,2006-12-01,70.00849,107.81889,1
48298,2006-12-01,69.13434,107.05697,1
48313,2006-12-01,65.81714,104.68879,1
48338,2006-12-01,60.17444,101.91122,1
48398,2006-12-01,46.11985,98.17277,4
48401,2006-12-01,45.39712,98.04609,4
48405,2006-12-01,44.43022,97.88314,4
48417,2006-12-01,41.50626,97.43141,4
48441,2006-12-01,35.5447,96.66666,1
48443,2006-12-01,35.04048,96.60995,1
48446,2006-12-01,34.28188,96.52665,1
48447,2006-12-01,34.02839,96.49934,1
48490,2006-12-01,22.80111,95.50792,0
48491,2006-12-01,22.5315,95.48844,0
48502,2006-12-01,19.53638,95.28288,0
48512,2006-12-01,16.76394,95.10889,0
48513,2006-12-01,16.48393,95.09212,0
48516,2006-12-01,16.50844,-94.90446,0
48531,2006-12-01,30.73121,-95.93742,3
48552,2006-12-01,36.07679,-96.47746,2
48568,2006-12-01,40.06131,-96.95942,2
48573,2006-12-01,41.29224,-97.12502,2
48583,2006-12-01,43.73506,-97.48089,4
48587,2006-12-01,44.70536,-97.63333,1
48599,2006-12-01,47.59398,-98.1301,1
48614,2006-12-01,52.10343,-99.06286,1
48626,2006-12-01,54.91355,-99.7697,1
48627,2006-12-01,55.14644,-99.83356,1
48636,2006-12-01,57.23387,-100.44781,1
48641,2006-12-01,58.38686,-100.82301,1
48643,2006-12-01,58.84672,-100.98065,1
48644,2006-12-01,59.07637,-101.06118,1
48658,2006-12-01,62.27123,-102.32473,1
48687,2006-12-01,69.63947,-106.82141,1
48691,2006-12-01,70.51404,-107.59242,1
48694,2006-12-01,71.16668,-108.21709,4
48711,2006-12-01,76.86528,-116.56505,4
48719,2006-12-01,73.10544,110.37643,1
48726,2006-12-01,71.60011,108.65789,1
48727,2006-12-01,71.38357,108.43495,1
48730,2006-12-01,70.73191,107.79599,1
48745,2006-12-01,67.43352,105.15407,1
48746,2006-12-01,67.21152,105.00492,1
48773,2006-12-01,61.13456,101.84208,1
48784,2006-12-01,58.61689,100.90127,1
48796,2006-12-01,55.84398,100.03021,1
48797,2006-12-01,55.61166,99.96381,1
48798,2006-12-01,55.37915,99.89826,1
48803,2006-12-01,54.21368,99.58295,1
48814,2006-12-01,51.63229,98.9548,1
48816,2006-12-01,51.16033,98.84926,1
48828,2006-12-01,48.3111,98.2645,1
48840,2006-12-01,45.4306,97.75178,0
48846,2006-12-01,43.97799,97.51842,4
48855,2006-12-01,41.7828,97.19347,4
48884,2006-12-01,34.56359,96.31343,1
48896,2006-12-01,31.50358,96.009,1
48897,2006-12-01,31.24646,95.98495,1
48905,2006-12-01,29.17721,95.79922,2
48913,2006-12-01,27.08511,95.62463,3
48919,2006-12-01,25.5002,95.50041,0
48968,2006-12-01,30.24078,-95.66557,3
48973,2006-12-01,31.53011,-95.77949,3
48991,2006-12-01,36.10478,-96.23032,2
48999,2006-12-01,38.10672,-96.45399,2
49026,2006-12-01,44.73719,-97.34301,1
49040,2006-12-01,48.10614,-97.90717,1
