index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
39307,2006-03-01,17.74284,99.02232,0,0,0,0,0,13,67,5,0,0,0,0,0,0,0,0,33,38,14,2,13,57,20,0,0,9,65,18,0,0,12,80,0,0,1
39320,2006-03-01,14.11503,98.64861,0,0,0,0,0,24,42,9,7,0,0,0,0,0,0,0,56,18,18,7,16,60,8,0,0,21,68,3,0,0,8,83,1,0,1
39334,2006-03-01,1.0552,97.58401,0,0,0,0,0,15,63,14,0,0,0,0,0,0,0,0,63,29,0,0,22,43,27,0,2,19,69,2,0,1,13,75,3,0,1
39349,2006-03-01,20.51867,-99.13715,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,11,74,7,0,0,10,74,8,0,1,5,70,13,3,1,14,61,15,1,0
39350,2006-03-01,20.78929,-99.16867,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,6,0,1,9,77,5,0,1,5,70,12,4,1,14,61,15,1,0
39354,2006-03-01,21.86715,-99.29692,0,91,0,1,0,0,14,0,0,0,0,0,0,0,0,0,90,2,0,0,8,71,13,0,1,5,66,13,6,2,9,65,16,0,0
39358,2006-03-01,22.9378,-99.42878,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,89,3,0,0,4,75,12,1,2,5,63,18,4,2,4,66,20,0,1
39365,2006-03-01,24.79472,-99.66867,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,11,0,2,12,63,15,0,3,2,68,18,1,2,3,68,19,0,0
39394,2006-03-01,32.2808,-100.80614,0,90,2,0,0,0,14,0,0,0,0,0,0,0,0,6,86,0,0,1,11,61,19,0,2,5,61,18,6,1,8,64,19,0,0
39400,2006-03-01,33.79167,-101.07531,0,88,3,1,0,0,14,0,0,0,0,0,0,0,0,0,81,11,0,1,11,70,10,0,2,6,59,19,5,0,8,62,22,0,0
39405,2006-03-01,35.04157,-101.30993,0,89,3,0,0,0,6,0,0,0,0,0,0,0,0,0,49,41,2,2,10,63,17,0,3,5,53,22,8,2,9,59,22,0,0
39416,2006-03-01,37.76316,-101.86228,0,87,5,0,0,0,0,0,0,0,0,27,3,0,0,0,75,17,0,0,12,65,15,0,1,9,50,22,10,1,10,66,13,2,0
39438,2006-03-01,43.09706,-103.14322,1,65,26,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,8,0,13,64,15,0,5,12,47,22,6,0,15,62,11,4,0
39440,2006-03-01,43.57508,-103.27327,2,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3,12,0,13,64,15,0,4,12,49,23,4,0,14,63,11,4,0
39448,2006-03-01,45.47613,-103.81976,2,51,39,0,0,0,0,0,0,0,0,33,2,0,0,0,82,5,5,0,14,62,16,0,0,16,52,23,1,0,15,61,12,4,0
39455,2006-03-01,47.12523,-104.33543,1,51,40,0,0,0,0,0,0,0,0,33,0,0,0,0,92,0,0,0,14,58,20,0,0,18,55,19,0,0,17,57,11,7,0
39479,2006-03-01,52.67971,-106.4293,25,51,16,0,0,0,36,7,5,0,0,8,11,26,0,0,62,15,15,0,14,56,22,0,0,22,49,19,2,0,17,57,15,3,0
39494,2006-03-01,56.51969,-108.3112,0,0,0,0,0,5,16,23,0,0,0,35,32,0,0,10,71,11,0,0,15,58,19,0,0,15,50,27,0,0,11,59,21,1,1
39509,2006-03-01,60.05695,-110.50498,33,45,13,1,0,0,19,16,0,0,20,52,0,0,0,2,80,10,0,0,17,57,18,0,0,9,54,29,0,0,8,55,29,0,2
39534,2006-03-01,65.82364,-115.60219,58,25,9,0,0,1,8,0,0,0,13,74,0,0,0,9,83,0,0,0,19,54,19,0,0,6,59,26,1,0,6,58,28,0,2
39546,2006-03-01,68.28067,-118.70596,68,8,16,0,0,0,0,0,0,1,13,73,0,0,0,16,53,23,0,0,18,54,20,0,1,7,62,22,0,1,6,61,24,0,2
39583,2006-03-01,67.87679,118.1416,68,14,10,0,0,0,2,0,0,0,12,75,0,0,0,7,69,16,0,0,17,54,21,0,0,32,46,14,0,0,20,55,16,1,2
39595,2006-03-01,65.40687,115.14478,65,17,10,0,0,0,10,2,0,0,10,75,0,0,0,7,81,4,0,0,18,54,20,0,0,23,54,15,0,0,27,48,16,1,2
39607,2006-03-01,62.86906,112.69379,57,18,17,0,0,0,12,0,0,0,3,67,14,0,0,12,79,1,0,0,17,55,20,0,0,13,64,12,3,0,26,52,13,1,2
39616,2006-03-01,60.92854,111.13424,51,16,25,0,0,0,9,2,1,0,8,74,0,0,0,12,66,12,2,0,16,56,20,0,0,22,55,13,2,0,23,55,13,1,2
39634,2006-03-01,56.96608,108.56033,50,6,36,0,0,0,11,0,0,0,10,17,55,0,0,4,57,27,3,0,15,55,22,0,0,28,50,14,0,0,19,62,10,1,2
39639,2006-03-01,55.84793,107.9494,49,13,30,0,0,0,19,0,0,0,2,16,48,9,0,0,69,19,4,0,15,56,21,0,0,30,49,13,0,0,19,62,10,1,2
39642,2006-03-01,55.17361,107.60118,49,17,26,0,0,0,6,8,1,0,2,19,54,0,0,0,64,19,9,0,16,55,21,0,0,29,50,13,0,0,21,60,10,1,2
39645,2006-03-01,54.49677,107.26581,51,20,21,0,0,0,19,0,0,0,2,22,51,0,0,0,42,37,13,0,16,57,19,0,0,32,44,16,0,0,25,55,11,1,2
39651,2006-03-01,53.13561,106.63095,29,34,26,3,0,0,10,1,0,0,0,0,0,0,0,25,54,10,3,0,16,58,18,0,0,32,46,14,0,0,27,54,10,1,0
39688,2006-03-01,43.81368,103.33925,0,0,0,0,0,0,33,11,25,0,0,87,0,0,0,5,57,29,1,0,15,57,20,0,0,7,68,14,3,1,14,65,12,0,2
39702,2006-03-01,40.44773,102.47046,0,0,0,0,0,0,57,35,0,0,0,0,0,0,0,0,56,35,1,0,14,63,15,0,0,16,59,10,5,3,21,58,10,0,1
39703,2006-03-01,40.20516,102.41265,0,0,0,0,0,33,58,1,0,0,0,0,0,0,0,0,58,31,3,0,14,64,14,0,0,15,60,10,5,3,23,56,10,0,1
39721,2006-03-01,35.78761,101.45547,0,29,63,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,5,0,15,56,21,0,0,10,62,18,2,0,28,53,11,0,0
39729,2006-03-01,33.79167,101.07531,2,36,54,0,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0,1,11,64,16,0,0,11,66,15,0,1,24,58,9,0,0
39765,2006-03-01,24.53072,99.63366,0,92,0,0,0,0,28,5,0,0,0,0,0,0,0,0,45,41,6,2,19,51,17,2,2,4,65,14,5,0,15,58,19,0,0
39769,2006-03-01,23.47049,99.4961,0,92,0,0,0,0,40,11,9,0,0,0,0,0,0,0,53,35,4,3,19,50,18,1,2,3,56,17,7,0,15,62,15,0,0
39778,2006-03-01,21.05944,99.2004,0,0,0,0,0,0,24,5,6,0,0,0,0,0,0,1,38,36,17,3,19,57,13,0,1,6,58,22,5,0,11,75,6,0,1
39787,2006-03-01,18.61104,98.92241,0,0,0,0,0,0,69,6,2,0,0,0,0,0,0,0,35,39,12,3,8,64,17,0,0,8,62,17,5,0,10,82,0,0,1
39791,2006-03-01,17.51018,98.80414,0,0,0,0,0,0,72,18,2,0,0,0,0,0,0,0,29,42,21,1,10,60,21,0,0,10,67,15,0,0,12,80,0,0,1
39801,2006-03-01,14.72175,98.52164,0,0,0,0,0,19,71,1,1,0,0,0,0,0,0,0,45,29,18,4,16,63,9,0,4,21,65,2,0,0,7,84,1,0,1
39823,2006-03-01,18.37909,-98.70222,0,92,0,0,0,0,20,4,0,0,0,0,0,0,0,5,78,9,0,1,5,71,15,0,0,17,67,7,1,3,16,57,15,1,0
39832,2006-03-01,20.83246,-98.97263,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82,4,0,1,9,73,9,0,2,2,72,13,3,1,13,63,15,0,0
39851,2006-03-01,25.89145,-99.60198,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,0,0,0,9,70,13,0,2,5,65,20,0,2,7,67,16,0,0
39857,2006-03-01,27.45781,-99.8193,0,92,0,0,0,0,3,3,10,0,0,0,0,0,0,0,79,13,0,1,9,61,18,3,1,4,63,23,1,2,8,65,17,0,0
39869,2006-03-01,30.54926,-100.28452,0,89,0,3,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0,2,12,60,18,0,1,6,65,12,8,2,9,63,18,0,0
39899,2006-03-01,38.05995,-101.66329,0,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10,0,0,12,63,17,0,1,8,52,21,9,1,10,64,15,2,0
39901,2006-03-01,38.55049,-101.76829,0,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,87,5,0,0,12,62,18,0,1,9,51,21,10,1,12,62,15,2,0
39911,2006-03-01,40.98545,-102.32249,2,74,16,0,0,0,0,0,0,0,0,0,0,0,0,5,71,11,0,0,13,58,21,0,4,9,54,18,7,1,15,62,11,3,0
39912,2006-03-01,41.22734,-102.38076,2,75,15,0,0,0,0,0,0,0,0,0,0,0,0,5,79,3,0,0,13,58,21,0,4,10,53,19,6,0,15,63,11,3,0
