index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
82170,32.87444,75.22043,0,0,0
82201,24.99811,76.8796,0,0,0
82203,24.47662,76.97416,0,0,0
82222,19.43289,77.80983,0,0,0
82230,17.25738,78.13092,0,0,0
82242,13.93082,78.58243,0,0,0
82243,13.64999,78.61854,0,0,0
82257,0.27463,-79.88094,0,0,0
82279,43.38623,-71.74522,6,0,2
82351,67.06882,-51.42875,71,0,3
82464,46.38922,70.50947,0,0,0
82489,40.56556,72.75853,29,0,1
82515,34.28993,74.61793,3,0,0
82518,33.55081,74.80759,0,0,0
82522,32.56029,75.05347,0,0,0
82568,20.7172,77.40667,0,0,0
82591,14.43352,78.32927,0,0,0
82634,44.00573,-71.20011,9,0,2
82636,44.46874,-71.01237,11,0,2
82651,47.89935,-69.48068,24,0,1
82683,55.60224,-64.79887,48,0,3
82685,56.02846,-64.4703,54,0,3
82702,67.10299,-50.63068,73,0,3
82724,66.20217,52.36474,50,0,3
82742,62.7904,57.63906,41,0,3
82764,58.34205,62.5109,33,0,1
82781,54.74494,65.43283,34,0,1
82784,54.09781,65.88897,33,0,1
82787,53.44721,66.32946,33,0,1
82824,45.16078,70.7239,0,0,0
82889,29.48853,75.52971,0,0,0
82901,26.42754,76.17135,0,0,0
82917,22.25235,76.94475,0,0,0
82929,19.04444,77.47119,0,0,0
82963,9.54207,78.75852,0,0,0
82989,43.69457,-71.02112,8,0,2
83005,47.36171,-69.40767,16,0,2
83007,47.81409,-69.18735,19,0,2
83023,52.04283,-66.84691,36,0,1
83055,66.42183,-51.25403,0,0,0
83059,73.2988,-28.30075,0,0,0
83062,73.61182,-26.21137,0,0,0
83079,65.69618,52.59464,50,0,3
83087,64.20463,55.04934,45,0,3
83091,63.44062,56.17384,43,0,3
83101,61.48374,58.7223,38,0,3
83133,54.86035,64.93799,33,0,1
83159,49.16307,68.49856,28,0,1
83226,33.41469,74.34859,0,0,0
83231,32.17752,74.66308,0,0,0
83250,27.38986,75.7533,0,0,0
83287,17.62694,77.4919,0,0,0
83297,14.87357,77.89232,0,0,0
83308,11.78004,78.30459,0,0,0
83324,9.13534,-78.45147,0,0,0
83333,21.33294,-76.69082,0,0,0
83339,42.68545,-71.1209,0,0,0
83351,45.45589,-69.96608,12,0,2
83353,45.91294,-69.7603,0,0,0
83363,48.17792,-68.66774,22,0,1
83384,53.68617,-65.37643,0,0,0
83397,56.87507,-62.90444,57,0,3
83412,73.40716,-25.86635,0,0,0
83444,62.5393,56.83677,40,0,3
83461,59.1498,60.78075,35,0,1
83477,55.82266,63.77803,34,0,1
83518,46.82301,69.33639,0,0,0
83529,44.30739,70.46335,2,0,0
83542,41.2822,71.65146,42,0,3
83543,41.04716,71.7371,40,0,3
83549,39.62983,72.23514,53,0,3
83553,38.6782,72.55281,0,0,0
83567,35.30415,73.58276,1,0,0
83583,31.36272,74.62375,0,0,0
83597,27.83479,75.43423,0,0,0
83645,15.09118,77.67222,0,0,0
83646,14.81347,77.71168,0,0,0
83675,18.31929,-76.99095,0,0,0
83694,45.37187,-69.68717,12,1,2
83707,48.31377,-68.25741,29,0,1
83708,48.53765,-68.13946,29,12,4
83719,51.63444,-66.35098,37,0,1
83816,57.18392,62.1857,31,0,1
83841,51.85288,66.21262,31,0,1
83845,50.97684,66.75709,33,0,1
83851,49.65175,67.53098,30,0,1
83880,43.06974,70.66987,16,0,2
83887,41.43819,71.30501,41,0,3
83896,39.31615,72.06471,0,0,0
83978,18.31929,76.99095,0,0,0
84024,20.40696,-76.44281,0,0,0
84025,20.67359,-76.39634,0,0,0
84038,45.51471,-69.30455,12,0,2
84055,50.22227,-66.84491,23,0,1
84057,50.66236,-66.58155,19,0,2
84075,54.9784,-63.60248,51,0,3
84107,66.3344,49.27946,55,0,3
84138,60.52314,58.2764,37,0,1
84146,58.91881,60.04639,35,0,1
84157,56.65821,62.20486,32,0,1
84159,56.24095,62.5669,33,0,1
84172,53.48595,64.72227,34,0,1
84184,50.88186,66.44774,29,0,1
84210,45.05836,69.51298,0,0,0
84222,42.29154,70.68364,27,0,1
84224,41.82564,70.86635,33,0,1
84227,41.12424,71.13426,46,0,3
84232,39.94841,71.56505,50,0,3
84243,37.33135,72.44893,0,0,0
84302,22.5267,76.0622,0,0,0
84303,22.26337,76.11092,0,0,0
84333,14.13378,77.43142,0,0,0
84437,72.97621,-23.49856,63,0,3
84464,62.72452,54.85132,39,0,3
84468,61.96021,55.9228,39,0,3
84473,60.98975,57.18365,37,0,1
84505,54.44945,63.60006,33,0,1
84607,30.90369,74.02321,0,0,0
84615,28.89823,74.51149,0,0,0
84645,21.14025,76.10881,0,0,0
84715,44.42898,-69.17145,8,0,2
84718,45.113,-68.8565,11,0,2
84728,47.37022,-67.73793,18,0,2
84741,51.34172,-65.41513,36,0,1
84742,51.55876,-65.27268,36,14,4
84764,56.64288,-61.32685,0,0,0
84799,63.70968,52.73359,43,0,3
84824,58.8836,59.10831,36,0,1
84862,50.90646,65.69545,29,0,1
84929,35.49348,72.49914,0,0,0
84934,34.27973,72.8618,0,0,0
84940,32.8111,73.2782,0,0,0
84950,30.33322,73.93011,0,0,0
84953,29.58232,74.11615,0,0,0
84967,26.03006,74.93151,0,0,0
84983,21.86763,75.76854,0,0,0
85004,16.22003,76.73797,0,0,0
85006,15.67025,76.82358,0,0,0
85039,1.96953,-78.40375,0,0,0
85044,7.95499,-77.71334,0,0,0
85099,55.9096,-61.54298,0,0,0
85115,67.21496,45.0,53,7,3
85120,66.38749,46.94808,54,0,3
85144,62.07742,54.62525,39,0,3
85152,60.54027,56.67878,36,0,1
85169,57.14467,60.40342,32,0,1
85174,56.11666,61.35867,33,0,1
85178,55.28559,62.08309,31,0,1
85198,51.02476,65.24846,31,0,1
85219,46.38086,67.9169,0,0,0
85227,44.56949,68.79484,0,0,0
